Employee Name,ID Number,Job Title,Gross Salary,Start Date
John Doe,12345678,Software Engineer,150000,2026-03-01
Jane Smith,87654321,Product Manager,180000,2026-03-15
Peter Kamau,11223344,Operations Lead,95000,2026-04-01
Mary Atieno,44332211,Compliance Officer,110000,2026-03-20
Alice Wanjiku,22334455,Support Specialist,45000,2026-03-10
David Omondi,55667788,Sales Representative,65000,2026-03-12
Sarah Nyambura,99887766,HR Coordinator,85000,2026-04-15
Kevin Mutua,33445566,Accountant,120000,2026-03-25
Linda Achieng,77889900,Marketing Executive,90000,2026-03-28
Michael Otieno,11221122,Legal Counsel,200000,2026-05-01
